user_id,country,state_province,county_parish
,Russia,Lipetsk,Dobrovskiy rayon
,Mexico,"Sonora, Estado de",Huépac
,Guatemala,Izabal,
,USA,Arizona,Pima County
,U.S.A,Arizona,Pima
,USA,Ilinois,
,Mexico,Quintana Roo,Lázaro Cárdenas
,Mexico,Quintana Roo,Municipio de Lázaro Cárdenas
,Ukraine,Kharkiv,Novovodolaz'kyi
,Canada,Province of Nova Scotia,
,Germany,Niedersachsen,Emden
,United States,Arkansas,Greene
,Romania,Covasna,Intorsura Buzaului
,United States,Kansas,Jewell
,Mexico,Chiapas,Villa Corzo
,Romania,Cluj,Marisel
,Mexico,Nuevo León,Los Aldamas
,South Korea,Busan,Haeundae
,Mexico,Guanajuato,Jerécuaro
,Colombia,Cundinamarca,Medina
,Thailand,Chaiyaphum,Nong Bua Daeng